"UNITID","OFCODE","#BDRM","#BATHS","AREA","LOCN","STADR","DESC1","DESC2","DESC3","DESC4","DESC5","DESC6","DESC7","GRADE","SOFABD","MAXOCP","FIREPL","PARKSP","BARBCU","WSHDRY","SECDEP","2DA_T1","XDA_T1","WEK_T1","MIN_T1","2DA_T2","XDA_T2","WEK_T2","MIN_T2","2DA_T3","XDA_T3","WEK_T3","MIN_T3","2DA_T4","XDA_T4","WEK_T4","MIN_T4","2DA_T5","XDA_T5","WEK_T5","MIN_T5","2DA_T6","XDA_T6","WEK_T6","MIN_T6","BR1BED","BR2BED","BR3BED","BR4BED","BR5BED","BR6BED","BR1LOC","BR2LOC","BR3LOC","BR4LOC","BR5LOC","BR6LOC","BR1TV","BR2TV","BR3TV","BR4TV","BR5TV","BR6TV","VIRTOUR","INTCMT1","INTCMT2","INTCMT3","WWWCMT","GSTCMT","UNTTYPE","DATEADD","DATECHG","COMMISN","RSRVAMT","MNTHFEE","CLENCRG","CLENFEE","GRSRENT","NETRENT","OWNREXP","RENTDAY","OWNRDAY","FRNDDAY","OMNTDAY","MANTDAY","CLUBDAY","GESTDAY","BLOCKDT","BFYACCT","BFYPHON","LATITUD","LONGTUD"
"CO H1019","SSO","4","3","3400","CO","2119 OAXACO ST","HTUB","PTBL","JACZ","WIFI","NSMO","WODS","WDSY","A+","0","10","GASLOG","4D+4G","GAS","YES","400","1200","420","3300","1","1410","525","4035","1","1410","525","4035","1","1620","630","4770","1","1936","788","5876","1","2460","1050","7710","1","1K","1Q","1Q","1D2S","","","Up  ","Down","Up  ","Up  ","","","Color","DVD  ","No   ","No   ","","","http://fusion.realtourvision.com/72112","2119 OAXACO ST.(UT)'SPECTACULAR NEW HOME W/GAME RM","GAS BBQ;DIN/10BAR/5;GRANITE;HARDWOOD FLRS;HUGE","MSTR SUITE W/35'TV/2PPL JACZ;BDRM 4 IS TRUNDLES","Absolutely Spectacular new home with a beautiful game room and hot tub!  This amazing home is perfect for anytime of year with easy access to beaches, casinos, and is centrally located within 15 minutes of Sierra-at-Tahoe and Heavenly, as well as being only 30 minutes to Kirkwood Ski Resort. The immaculate home has an enormous game room with card table, pool table, 3 flat screen TV's, a huge wet bar with seating for 6, 2 mini refrigerators and a dishwasher.  Upstairs you will find a wonderful great room with dining table for 10, bar seating for 4, granite countertops, a built in espresso machine, and hardwood floors.  The master suite is also a dream, with a king size bed, 35' TV, gas burning fireplace, a spectacular master bath with huge jacuzzi bathtub, steam  shower with dual shower heads, and a gas burning fireplace.  Over 1000 square feet of deck overlook the woods, take a walk out the back yard and you will find the Upper Truckee river for some relaxing, children can wade and toss rocks.  The hot tub is also in the backyard covered by the upstairs deck and has built in head rest speakers and stereo system.  Can it get any better than this?  Book now for this wonderful home! VRP# 1594 ","","RENTAL  ","10/27/09","2/10/14","35","1000","0","240.00","360.00","28423.50","18378.27","1962.91","52","0","0","0","0","0","0","0","","N","38.853919","-120.031778"
"CO H1031","SSO","3","2.1","2830","CO","2131 CASCADE RD","LKFT","LKVW","PBCH","JACZ","WIFI","NSMO","","A-","2","10","ROCK","2D","GAS","YES","375","946","340","2646","1","1586","660","4886","5","1116","425","3241","1","1286","510","3836","1","1542","638","4732","1","1966","850","6216","1","1K","1Q","1Q1B","","","","Up  ","Down","Down","","","","No   ","No   ","No   ","","","","http://fusion.realtourvision.com/95080","2131 CASCADE RD(CP)'GATED COMMUNITY LKFT!***BAD","DRIVEWAY-4X4W/CHAINS!SEE NOTES!;PVT BCH;AMAZING ","VIEWS!;WETBAR OFF KIT;HUGE DECKS!;HRD FLRS/LR","Unbelievable lakefront home located in the gated community of Cascade Properties, just minutes from historic Emerald Bay and Camp Richardson!  The home has 2800 square feet of living space and can sleep 10 people comfortably, upstairs is a large deck, master suite, kitchen and living room. Downstairs you will find the Family Room for TV viewing on the 50' flat screen and 2 other bedrooms.  Lakeviews are exceptional and can be seen from every room of the house. The house sits up from the beach area so there is quite a few stairs to walk down, but well worth it, with a private sandy beach, swimming, and gorgeous views! ***Please note: The driveway to this home is very steep and in the winter you  will be required to have 4 wheel drive and/or chains!  There is only parking for 2 cars, no exceptions.  Finally, because of the unique location of this area, driveway snow removal my be an issue, we want to forewarn that in case of a severe snow storm the driveway may take several hours, if not all day for  snow removal to happen.  Please take note that during a severe snow storm, you may be stranded at the house for quite some time.*** VRP# 1842 ","","RENTAL  ","12/26/12","11/13/13","35","500","0","177.00","266.00","6546.80","4136.42","1412.70","10","10","0","0","0","0","0","0","va1005","Y","38.950156","-120.077436"
"CO H1046","SSO","5","2","1984","CO","1646 MERION RD.","JACZ","VIEW","GOLF","WDSY","NSMO","","","B ","1","10","GASLOG","2G+2D","GAS","YES","150","600","200","1600","1","700","250","1950","1","700","250","1950","1","800","300","2300","1","950","375","2825","1","1200","500","3700","1","1K","1Q","1Q","2S","1H","","Down","Down","Down","Down","Up  ","","Color","Color","No   ","No   ","VCR  ","","http://fusion.realtourvision.com/19283","1646 MERION RD(OP)ONLY HOUSE ON CULDESAC! SECLUDED","REMODEL IN 05;DIN/6BAR/3;MTN VIEWS!WDSTV IN MASTER","Q FUTON IN GM RM/BDRM 4;10-15 MIN TO SKI&CASINOS","Quiet and secluded are two words that describe this nice house in the woods.  This home is a great value for folks who want a lot of space and seclusion.  This upstairs living home is the only home on the street! It has a sunny deck with filtered views of the surrounding mountains.  In the sunny living room you have a gas log fireplace.  Only 1 mile away from two golf courses and 15 minutes from skiing or the casino nightlife, this home is a vacation value!   The street is a little steep to the home so a 4 wheel drive or car with chains is a good idea in the winter. VRP# 1713 ","","RENTAL  ","6/30/00","12/17/13","35","500","0","133.00","200.00","8605.00","5305.45","515.60","28","10","0","0","0","0","0","0","va1005","Y","38.869451","-119.999263"
"CO H1057","SSO","3","2.1","2000","CO","1857 APALACHEE DR","HTUB","PTBL","JACZ","WIFI","NSMO","","","A ","2","10","GASLOG","2G+2D","GAS","YES","300","722","240","1922","1","842","300","2342","1","842","300","2342","1","962","360","2762","1","1142","450","3392","1","1442","600","4442","1","1K1H","1Q","1D1S","","","","Up  ","Down","Down","","","","DVD  ","DVD  ","DVD  ","","","","http://fusion.realtourvision.com/60480","1857 APALACHEE DR(OP)NEW2004;UPSTAIRS LIVING","HTUB,POOLTABLE,FENCD BKYD,LARGE GRT RM,JACZ","MSTR BATH;8DNG/3BAR;GASBBQ;10-15 MIN BCH & CAS","Come and spend your next visit to Lake Tahoe in this beautiful, brand new, upscale cabin.  All brand new furnishings, private hot tub, pool table, and a Wii Gaming  System             make this home a perfect place for any occasion. With a fenced in backyard, secluded private hot tub, and gas BBQ on the upstairs deck you will not want to leave. Located only 10 to 15 minutes from casinos and Heavenly Ski Resort.  What a great cabin with mountain and tree views.  Don't miss out on the chance for a perfect Lake Tahoe getaway in this perfect home! ***Absolutely no parties at this home, the neighbors will not tolerate it!**** VRP# 1189 ","","RENTAL  ","8/23/05","1/09/13","35","500","0","161.00","242.00","14190.00","9133.50","1256.95","36","0","0","0","0","0","4","0","va1005","Y","38.892215","-119.985258"
"CO H1074","SSO","4","2","1820","CO","1874 BRULE STREET","WIFI","NSMO","WDSY","","","","","B+","0","8","ROCK","1G+3D","GAS","YES","100","429","128","1069","1","461","160","1181","1","493","160","1293","1","557","192","1517","1","653","240","1853","1","813","320","2413","1","1K","1Q","2S","2S","","","Down","Down","Up  ","Up  ","","","Color","Color","No   ","No   ","","","http://fusion.realtourvision.com/98016","1874 BRULE ST(OP);WDSY DS LIV. CHALET;GREAT","DECK OFF FRNT;QUIET NHOOD;DIN4/4BAR;GOOD FAM. RNTL","10 MIN BY CAR TO HV OR CAS","Great value chalet in the woods! This cute downstairs living home is located in a quiet nieghborhood 10-15 minutes via car to the beaches, skiing or the casino nightlife!  It has a nice rock fireplace and vaulted ceilings in the living room. Also enjoy a large deck off the front of the home.  A good value for those who want a little seclusion, but still close to all that Tahoe has to offer! VRP# 0665 ","","RENTAL  ","10/15/00","7/06/12","35","500","0","115.00","173.00","5792.00","3764.80","1276.47","30","3","5","0","0","0","0","0","va1005","Y","38.891867","-119.983993"
"CO H1085","SSO","4","2.1","2028","CO","685 SHOSHONE ST.","HTUB","WIFI","NSMO","WDSY","","","","B+","1","10","GASLOG","2G+2D","GAS","YES","225","576","192","1536","1","624","240","1704","1","672","240","1872","1","768","288","2208","1","912","360","2712","1","1152","480","3552","1","1K","2S","1Q","1D","","","Up  ","Down","Up  ","Up  ","","","Color","No   ","Color","No   ","","","http://fusion.realtourvision.com/53240","685 SNOSHONE ST(UT);CUTE DS LIV;HTUB;QUIET AREA","TILE KIT;DIN6/3BAR;1QHAB IN LR;SAT TV;GOOD VALUE","10-15 MIN TO BCH, SLT OR SIERRA @ TAHOE SKI!","What everyone dreams about when they think of a Lake Tahoe  Vacation Rental!  Classic, but recently constructed, this  home is located on a quiet sunny street, ideal for those  looking for a secluded getaway, but only a few minutes to  beaches, skiing, shopping or the casino nightlife!  The tile kitchen features a gourmet gas range and dining for six at  the table and two at the bar.  The living room features a  large TV/ with Satellite and DVD player as well as a warm  gas fireplace for ambiance!  Upstairs you find three of the  four bedrooms including the master suite, complete with its  own TV and a private bathroom with double vanity and steam  shower!  Outside on the first floor, enjoy your own private  hot tub after a hard day of vacationing!  Located only 15  minutes from skiing at Sierra at Tahoe or Heavenly Valley,  this Tahoe rental is sure to please everyone! VRP# 1147 ","This was a nice house & we'll come back sometime. Thanks!!!  - Lundquist Party, April 2007 ","RENTAL  ","3/25/05","2/06/14","35","500","0","128.00","192.00","7848.00","5101.20","2001.43","25","0","0","0","0","0","0","0","va1005","Y","38.871273","-120.036838"
"CO H1098","SSO","3","2","1502","CO","698 W SAN BERNARDINO AVE","WIFI","PETS","NSMO","WDSY","","","","A-","1","10","GASLOG","3D","GAS","YES","150","472","136","1152","1","540","170","1390","1","540","170","1390","1","608","204","1628","1","710","255","1985","1","880","340","2580","1","1K","1Q","1Q2S","","","","Down","Up  ","Loft","","","","Color","Color","No   ","","","","http://fusion.realtourvision.com/27677","698 W SAN BERNARDINO AVE(UT)'BEAUTIFUL REMODELED","CABIN!ON DEMAND HOT WATER;PETS OK W/$200 REF DEP","LAM FLRS;42'FLAT TV/LR;DIN/6 BAR/2;QHAB/LR;","Gorgeous remodeled Tahoe cabin perfect for any vacation!  You will have 'On-Demand' hot water, high speed wireless internet service, 3 flat screen TV's (Living room is a 50') and more. Everything in the home has been redone from top to bottom,  amazing kitchen with granite counters and all stainless appliances, cute mountain decor throughout, and brand new furniture and bedding!  This house is absolutely adorable!  VRP# 1613 ","","RENTAL  ","9/04/12","2/04/14","35","500","0","133.00","200.00","6375.00","4143.75","350.82","26","0","0","0","0","0","0","0","va1005","Y","38.853772","-120.034261"
"CO H1211","SSO","4","3","2206","CO","1611 CRYSTAL AIR DR","HTUB","PTBL","WDSY","JACZ","NSMO","WIFI","","A ","2","12","GASLOG","2D+2G","GAS","YES","325","1078","380","2978","1","1174","475","3314","1","1268","475","3643","1","1458","570","4308","1","1744","713","5309","1","2218","950","6968","1","1K","1Q","1Q","1B1H","","","Up  ","Up  ","Down","Down","","","DVD  ","No   ","No   ","No   ","","","http://fusion.realtourvision.com/20660","1611 CRYSTAL AIR DR(OP)BRAND NEW HIM W/ HTUB &","POOL TABLE!3FLAT SCREEN TV'S;STEREO SURROUND;DOWN","STAIRS WETBAR W/PTBL&MFRIG;DIN6/BAR4;QFUTON-BDRM4","Take a look at this beautiful brand new home customized perfectly as a vacation rental! You'll find hardwood floors throughout, 4 bedrooms and 3 bathrooms that will accommodate 12, flat screen TV's in the master bedroom, game room, and living room, gas barbecue, granite countertops in the kitchen, and more! There is high speed wireless internet access and a beautiful jacuzzi bath tub in master suite!                  Downstairs is the game room with pool table, 37' flat screen TV, and wet bar with 2 mini fridges!  This is the perfect home at the right price!           Only 15 minutes to Heavenly and Sierra-at-Tahoe Ski Resorts and only 15 minutes to nearest beaches and casinos. VRP# 1521 ","","RENTAL  ","9/02/08","7/06/12","35","1000","0","212.00","318.00","18579.27","12076.52","1323.19","34","3","0","0","0","0","0","0","va1005","Y","38.866682","-119.999184"
"CO H1218","SSO","4","2.1","3039","CO","1801 JICARILLA DR","WIFI","WODS","BIKE","VIEW","JACZ","NSMO","WDSY","B+","0","12","GASLOG","3D+1G","GAS","YES","300","868","304","2388","1","1020","380","2920","1","1020","380","2920","1","1172","456","3452","1","1400","570","4250","1","1780","760","5580","1","1K1Q1S","1Q","1D3S","1Q","","","Up  ","Down","Down","Down","","","Color","No   ","No   ","No   ","","","http://fusion.realtourvision.com/34291","1801 JICARILLA DR(OP)'TOTAL SECLUSION! ON 1&1/2","ACRES/BACKS TO WOODS;BIKE/HIKE/CROSS CNTRY/SNOWSH","OUT BACK DOOR;DIN/10;NOOK/4;WETBAR;220 FT/DRIVEWAY","Wonderful home with total privacy and seclusion, located at  the end of a cul-de-sac, and down a 220 foot driveway, this  home backs to the woods and sits on a 1 1/2 acre lot.  You'll find sleeping for 12 people, upstairs living plan, 3 decks, views of the trees and meadow, and hiking, biking, snowshoeing, and cross country skiing trails directly from your back door!  Only minutes from beaches, casinos, and skiing!  An amazing home! *** Because of the nature of the location of this home, there are absolutely no outdoor open fires allowed. No bonfires, campfires, or charcoal BBQ's.*** VRP# 1787 ","","RENTAL  ","5/10/12","8/15/13","35","500","0","173.00","260.00","12660.87","8229.57","189.85","28","0","0","0","0","0","0","0","va1005","Y","38.894066","-119.978410"
"CO H1245","SSO","4","2","1572","CO","1545 IROQUOIS CIR","WIFI","WDSY","NSMO","WOOD","","","","B+","4","12","BRICK","1G+3D","GAS","YES","180","547","160","1347","1","627","200","1627","1","627","200","1627","1","707","240","1907","1","827","300","2327","1","1027","400","3027","1","1K","1Q1H","1Q","2H","","","Up  ","Down","Down","Loft","","","Color","Color","Color","DVD  ","","","http://fusion.realtourvision.com/69709","1545 IROQUOIS CIR(MY)'ECONOMICAL FOR 12, CUTECABIN","SOME UPGRADES, NEW CARPET&TILE;32'TV+BLUERAY/LR;","QHAB/LR;LOFT=DHAB+QFUTON;BDRM2=DFUTON;WOODS ACROSS","Wonderful cabin in the woods!  The home sits directly across from National Forest Land for hiking, biking, and winter snow play, can sleep 12 people, high speed wireless internet access, and more!  This is great home with a great price!  VRP# 1795 ","","RENTAL  ","7/14/12","3/27/14","35","500","0","151.00","227.00","4180.00","2681.00","1009.97","19","17","0","0","2","0","0","0","va1005","Y","",""
